id,brand,silhouette,colorway,nickname,styleCode,description,date,estimatedRetailPrice,image
,New Balance,550,White/Au Lait,Cafe Au Lait,BBW550WA,"New Balance continues to knock out colorways for the 550 silhouette, with this coffee-inspired edition being another must-cop.",2022-07-01T08:00:00,110,https://i.imgur.com/vzqa1Cq.png
,Nike X NOCTA,Hot Step Air Terra,Black/Chrome-Bright Cactus,Hot Step Black,DH4692-001,"NOCTA, Nike's sub-brand created for musician Drake, drops the second colorway for its debut silhouette.",2022-07-07T08:00:00,180,https://i.imgur.com/zRehgJm.png
,Nike,Dunk High,Laser Blue/White/Laser Blue,Laser Blue,DD1399-400,Nike continues to dole out Dunk High's in familiar colorways. This iteration leans more saturated on the scale of the classic UNC color palate.,2022-07-13T08:00:00,115,https://i.imgur.com/HRviAqb.png
,Nike,SB Dunk Low,Valour Blue/Team Maroon/White/Gum,Phillies,DQ4040-400,"The Phillies' throwback colors appear on this Philadelphia themed SB Dunk Low. The left and right inner tongue patches feature a cheesesteak sandwich and the Liberty Bell, respectively.",2022-07-14T08:00:00,115,https://i.imgur.com/QfoJEj5.png
,Air Jordan X Travis Scott,1 Low OG,Sail/University Red-Ridgerock,Reverse Mocha,DM7866-162,"Another collaboration between artist Travis Scott and Jordan Brand, featuring Scott's iconic reverse swoosh motif among premium materials used.",2022-07-21T08:00:00,150,https://i.imgur.com/1k3eWV0.png
,Yeezy,Boost 700,Hi-Res Blue/Hi-Res Blue/Hi-Res Blue,Hi-Res Blue,HO6674,Kanye West brings another eye-catching colorway of the dad-shoe-renaissance pioneer.,2022-08-02T08:00:00,300,https://i.imgur.com/BclHiDr.png
,Air Jordan,7 Retro,Black/Citrus/Varsity Red,Citrus,CU9307-081,This 2022 edition of the Citrus 7 colorway will be the first retro since its initial release in 2006. ,2022-08-13T08:00:00,200,https://i.imgur.com/vRdIurM.png
,Air Jordan,1 Retro High OG,Taxi/Black/Sail,Yellow Toe,555088-711,Jordan Brand revisits the distinctive color blocking pattern of 2018's Bred Toe 1's with this yellow edition.,2022-08-13T08:00:00,170,https://i.imgur.com/7RHw1gY.png
,adidas X Bad Bunny,Forum Buckle Low,Blue Tint/Light Blue/Clear Blue,Blue Tint,GY9693,The Puerto Rican native and musical superstar Bad Bunny collaborates with adidas again to bring another colorway to this retro-inspired silhouette.,2022-08-27T08:00:00,160,https://i.imgur.com/IaAMLhx.png
,Air Jordan,2 Retro,White/Varsity Red/Black,Chicago,DX2454-106,"Ten years after its last retro release, the Air Jordan 2 Chicago colorway returns in true OG fashion.",2022-10-22T08:00:00,200,https://i.imgur.com/CFALtgD.png
,Air Jordan,1 High OG,Varsity Red/Black/Sail/Muslin,Chicago Reimagined,DZ5485-612,"The iconic Air Jordan 1 colorway needs no introduction. It will return in a shape closer to the 1985 cut, with vintage aging details pre-applied from the factory throughout the shoe.",2022-10-29T08:00:00,180,https://i.imgur.com/gLIAxc1.png